text,department
"Plastic garbage next to basaveswaranagar police station, dumped daily.

Also, the garbage is dumped on the footpath itself. Most people these are from nearby hotels.",Sanitation
Two streetlights in front of Daivik Prasad apartment (opposite to Seetharama Temple) have not been working for several months.,Electricity
"Storm water drain blocked with garbage, filthy, stinking, more mosquitoes. Need immediate cleanup.",Health
wow..shop rite has no more water..shocker lol #frankenstorm http://t.co/06F98JO5Jersey bouta get fucked up by this hurricane #notrad,Water
"Hello. I am a Haitian living in the 12eme (12th) Section of Leogane, such as it is. I have a young woman who is in labor having a baby. I have no house. I have no means to live. How can you help? ",Health
"In the 36 square meter room with wooden walls, a metal roof, an open kitchen and two makeshift beds, Ibu Aja Cut, for the first time since the disaster, sees ray of hope.",Transport
Lights across Total mall (more store now) are not working  - five of them. Very dark at night.,Electricity
"According to energy department officials, underground cable system would make the power lines less susceptible to outages during disasters like cyclone Hudhud.",Electricity
principal misbehaving with students,Education
"between anthopro-socio and Ethnology Faculty I lose two children and my wife, I lived has nazon Archil zone. For the moment I am without shelter, I don't have same step a tent. ",Housing
Tree outside my house requires trimming as it's overgrown and dead branches are falling and damaging the building and vehicles parked outside. Have brought it to your notice but zero response so far,Housing
municipal tax overcharged,Municipal
*Partners in the Guinea Ebola vaccine trial The Guinea Ebola vaccine trial is the coordinated effort of many international agencies.,Health
Hello I can not find tents for people who live on the coast Delmas 2 ,Housing
"I don't find the answer, what precaution for the peole that live under tent can to take in the season cyclone? ",Environment
"Nearly 2,000 people were being treated in hospitals in the Maharashtra state capital Mumbai and neighbouring districts for suspected leptospirosis, gastroenteritis, cholera, dengue fever and other illnesses, they added.",Transport
kot addu medicines are most crucial requirement than food.,Health
"Officials say firefighters and soldiers are also making progress in containing rampant wildfires burning in many parts of the country, but some of the nation's most sensitive nuclear research sites remain under threat.",Safety
Roads are very bad condition and last time after three months of tarring the roads were digged and left as it is . Please re tar the road,Roads
"Toxic waste has also escaped from three flooded coal-fired power plants, according to Waterkeeper Alliance, an environmental organisation based in New York.",Electricity
cattle damaging crops,Animal Control
"The 8.0-magnitude quake centered on Wenchuan County, about 100 km southwest of Beichuan, has left more than 69,000 people dead, about 18,000 missing and millions homeless.",Safety
"Thailand had withdrawn its alert as fears of tsunami eased with no major change in sea waves detected hours after the quake, which killed dozens of people in Indonesia.",Environment
"in jacmel we have nothing that has reached us, people are starting to get sick. we are asking for help ",Health
"United Nations told me just wait the distribution of shelters, I'm waiting ,and I'm still waiting so I never see them but,I don't know what can I do now? Still wait or give up? ",Housing
Ration card correction pending,Municipal
"This is the beginning of the rainy season and it is expected that heavier rains will come in the September/October, further exacerbating the situation, OCHA added.",Environment
college fees not refunded,Education
"I greet your volonteer to help people who are in necesity. but we are in a refugee camp in the CEDHEP, we need, tent, water, food, and toilets and lamp bolbs. ",Water
"Since we were founded in 1962, we have provided about 2.25 billion euros worth of funding for around 6,600 projects in 70 countries - for a world without hunger and poverty.",Transport
